SA22023_V1_00,SA22023_name,geo_count,jobs_count
180800,Silverdale (Hamilton City),102,360
180900,Glenview,132,130
181000,Resthill,159,380
181101,Fitzroy (Hamilton City),168,250
181200,Riverlea,315,1850
181301,Peacocke,87,220
181400,Te Pahu,240,220
181500,Ngahinapouri,306,500
181600,Lake Cameron,357,1350
181700,Lake Ngaroto,264,230
181800,Kaipaki,273,630
181900,Pirongia,183,310
182000,Hautapu Rural,162,220
182101,Pokuru,333,320
182201,Te Rahu,195,440
182300,Fencourt,180,490
182400,Hautapu,180,1800
182500,Karapiro,600,540
182600,Cambridge North,240,410
182700,Cambridge West,297,620
182800,Cambridge East,258,270
182900,Cambridge Park-River Garden,168,480
183000,Oaklands-St Kilda,216,410
183101,Pukerimu,216,360
183200,Cambridge Central,777,3450
183300,Te Awamutu North,234,1950
183401,Te Awamutu West,96,140
183500,Leamington West,174,680
183600,Goodfellow Park,126,570
183701,Leamington South,183,310
183800,Leamington Central,171,300
183900,Leamington East,210,250
184000,Te Awamutu Stadium,192,450
184100,Te Awamutu Central,540,2350
184201,Pekerau,222,620
184300,Fraser Street,114,110
184400,Sherwin Park,114,260
184501,St Leger,90,80
184601,Rotoorangi,447,480
184700,Tokanui,51,90
184800,Kihikihi Central,162,220
184900,Maungatautari,228,240
185000,Rotongata,183,270
185200,Pirongia Forest,138,110
185300,Honikiwi,330,220
185400,Te Kawa,246,280
185500,Otorohanga,540,1700
185600,Maihiihi,468,430
185700,Puniu,312,740
185800,Tirau,501,740
185900,Putaruru Rural,516,990
186000,Putaruru,486,1500
186100,Kinleith,342,1450
186200,Paraonui,81,300
186300,Parkdale,36,60
186400,Matarawa,57,330
186500,Stanley Park,54,110
186600,Strathmore (South Waikato District),54,360
186700,Tokoroa Central,279,2400
186800,Moananui,81,180
187000,Herangi,267,470
187100,Hangatiki,249,590
187200,Aria,324,540
187300,Te Kuiti West,189,690
187400,Te Kuiti East,276,1450
187500,Waipa Valley,306,390
187600,Tiroa,15,220
187701,Marotiri,312,800
187702,Mangakino,51,80
187800,Ohakuri,411,730
187900,Lake Taupo Bays,270,580
188001,Mapara,282,360
188002,Kinloch,141,160
188200,Wairakei-Broadlands,144,1300
188300,Acacia Bay,339,200
188400,Brentwood (Taupo District),204,370
188501,Nukuhau,126,150
188502,Rangatira Park,135,190
188600,Taupo Central West,1002,4950
188701,Tauhara,324,1300
188702,Centennial,108,1100
188800,Taupo Central East,177,570
188900,Mountview,222,610
189000,Bird Area,312,450
189101,Hilltop (Taupo District),225,770
189102,Invergarry,60,450
189200,Waipahihi,282,450
189300,Richmond Heights,210,280
189400,Wharewaka,237,580
189500,Kaimanawa,9,220
189600,Waitahanui,81,110
189700,Turangi,288,970
189800,Rangataiki,18,75
189900,Taharua,12,70
190100,Waiau,78,60
190200,Waihi Beach-Bowentown,372,550
190300,Tahawai,453,280
190400,Athenree,84,110
190501,Aongatete,816,1300
190601,Katikati North,225,690
190602,Katikati South,363,1200
190800,Matakana Island,30,95
190901,Pahoia West,291,370
190902,Pahoia East,405,270
191001,Omokoroa North,441,610
191101,Omokoroa South,63,110
191201,Te Puna,804,1500
191300,Minden,480,420
191400,Kaimai,426,330
191501,Kopurererua,189,180
191502,Keenan Road,51,110
191601,Waitao,321,350
191700,Waiorohi,483,430
191801,Otawa,606,1150
191901,Te Puke West,387,2850
192000,Rangiuru,690,2000
192101,Te Puke East,501,2200
192102,Te Puke South,225,600
192300,Maketu,102,130
192400,Pukehina Beach,114,35
192500,Pongakawa,687,1100
192600,Matua North,390,290
192700,Inlet Tauranga Harbour South,18,85
192800,Mount Maunganui North,903,2500
192900,Matua South,249,330
193000,Bethlehem North,552,1500
193100,Bellevue,282,640
193201,Otumoetai North,264,280
193202,Otumoetai East,471,830
193301,Otumoetai South,240,360
193400,Brookfield West,207,570
193500,Bethlehem Central,528,840
193600,Brookfield East,207,190
193700,Mount Maunganui South,549,830
193800,Tauranga Central,2916,16200
193900,Mount Maunganui Central,1119,11200
194000,Judea,183,320
194100,Te Reti,114,220
194200,Bethlehem South,219,180
194300,Omanu Beach,453,790
194400,Tauranga Hospital,564,6300
194500,Tauriko,390,4250
194601,Gate Pa,228,540
194700,Greerton South,333,3250
194801,Tauranga South,627,2150
194802,Fraser Cove,213,2050
194900,Arataki North,405,570
195000,Matapihi,66,220
195101,Pyes Pa North West,219,290
195102,Pyes Pa West,309,710
195200,Greerton North,240,670
195300,Yatton Park,105,230
195401,Pyes Pa North,330,1100
195500,Arataki South,465,1800
195601,Pyes Pa South,309,440
195700,Poike,84,630
195800,Te Maunga North,267,800
195900,Maungatapu,309,360
196000,Hairini,216,230
196100,Pyes Pa East,99,100
196201,Te Maunga South,186,160
196202,Pacific Lakes,225,440
196301,Kaitemako,159,140
196400,Ohauiti,333,340
196500,Baypark-Kairua,168,1900
196600,Welcome Bay West,168,170
196700,Welcome Bay East,219,320
196800,Pacific View,288,270
196900,Welcome Bay South,282,210
197000,Palm Beach North,282,460
197100,Palm Beach South-Gravatt,537,1600
197200,Papamoa Beach North,261,240
197300,Doncaster,249,790
197400,Papamoa Beach South,336,610
197500,Motiti,357,400
197601,Wairakei West,249,730
197602,Wairakei Central,144,230
197603,Wairakei East-Te Tumu,228,290
197700,Tui Ridge,372,550
197800,Arahiwi,36,60
197900,Ngongotaha Valley,234,420
198000,Hamurana,153,95
198100,Ngongotaha East,141,340
198200,Ngongotaha West,108,360
198400,Ngongotaha South,117,700
198500,Selwyn Heights,42,180
198600,Pleasant Heights,75,290
198700,Rotoiti-Rotoehu,219,360
198800,Kawaha,171,270
198900,Fairy Springs,102,250
199000,Western Heights (Rotorua District),60,310
199100,Pukehangi North,69,100
199200,Pukehangi South,144,210
199300,Mangakakahi Central,513,4150
199400,Koutu,93,180
199500,Mangakakahi West,54,95
199600,Sunnybrook,123,190
199700,Fordlands,51,200
199800,Kuirau,231,1200
199900,Utuhina,87,240
200000,Pomare,132,220
200100,Rotorua Central,1212,9600
200200,Hillcrest (Rotorua District),111,480
200300,Victoria,135,890
200401,Waiohewa,159,270
200500,Glenholme North,114,300
200600,Springfield South,174,220
200700,Springfield North,135,420
200800,Glenholme South,198,250
200900,Owhata West,174,600
201001,Holdens Bay-Rotokawa,87,810
201100,Ngapuna,282,2850
201200,Fenton Park,111,750
201300,Tihiotonga-Whakarewarewa,111,1300
201401,Owhata East,159,620
201501,Lynmore,381,580
201600,Ngakuru,372,500
201700,Kaingaroa-Whakarewarewa,363,920
201800,Golden Springs,417,1050
201900,Manawahe,258,140
202000,Matata-Otakiri,285,220
202100,Onepu Spring,186,170
202200,Edgecumbe,99,1050
202300,Thornton-Awakeri,456,890
202400,Te Teko Lakes,129,330
202500,Coastlands,252,1100
202600,Whakatane West,135,240
202700,Whakatane Central,1038,4600
202800,Trident,210,2000
202900,Allandale,192,1500
203000,Mokorua Bush,168,90
203100,Wainui,156,290
203200,Ohope,390,330
203400,Galatea,219,390
203500,Waingarara-Waimana,225,380
203600,Murupara,57,300
203700,Monika Reserve,99,170
203800,Kawerau Industrial,63,1500
203901,Kawerau Central,138,670
203902,Tarawera Park,42,220
204101,Waiotahe,282,480
204200,Cape Runaway,183,250
204301,Woodlands,72,190
204400,Opotiki,324,1600
204500,Otara-Tirohanga,228,660
204600,Oponae,36,40
204700,East Cape,132,320
204800,Waipaoa,348,810
204900,Ruatoria-Raukumara,90,340
205000,Tokomaru,117,440
205100,Hangaroa,396,980
205201,Wharekaka,276,720
205300,Te Arai,222,370
205401,Hexton,687,2150
205500,Lytton,87,1700
205601,Makaraka-Awapuni,360,3050
205700,Riverdale,96,390
205800,Te Hapara North,114,420
205900,Mangapapa North,72,120
206000,Elgin,90,290
206100,Te Hapara South,93,210
206200,Mangapapa East,129,250
206300,Mangapapa South,87,130
206400,Te Hapara East,129,450
206500,Centennial Crescent,96,360
206601,Whataupoko East,219,340
206700,Whataupoko West,198,720
206801,Gisborne Central,885,6200
206900,Kaiti North,165,480
207000,Kaiti South,168,570
207100,Outer Kaiti,42,190
207200,Tamarau,84,260
207301,Wainui-Okitu,327,250
207400,Maungataniwha-Raupunga,219,400
207600,Frasertown-Ruakituri,183,380
207700,Whakaki,87,260
207800,Wairoa,312,2150
207900,Mahia,180,260
208001,Puketitiri-Tutira,438,400
208100,Sherenden-Crownthorpe,405,340
208200,Maraekakaho,435,520
208301,Puketapu-Eskdale,558,1650
208401,Omahu-Pakowhai,336,1150
208500,Bridge Pa,174,2700
208601,Twyford,222,1250
208700,Poukawa,375,390
208800,Flaxmere West,39,130
208901,Omahu Strip,429,5200
209000,Lochain Park,57,60
209100,Flaxmere Park,84,380
209201,Flaxmere South,66,210
209301,Irongate,126,1550
209401,Frimley,285,1200
209500,Camberley,90,3450
209601,Clive,180,330
209700,St Leonards,216,1300
209800,Mahora,162,480
209901,Raureka,147,340
210000,Cornwall Park,150,270
210100,Tomoana,81,800
210201,Longlands-Pukahu,426,1700
210300,Raceway Park,156,530
210400,Karamu,276,4450
210500,Hastings Central,1365,9300
210600,Tomoana Crossing,150,330
210700,Akina Park,141,630
210800,Queens Square,96,190
210900,Mayfair,108,510
211000,Parkhaven,174,300
211100,Parkvale,147,380
211201,Mangateretere,444,740
211301,Haumoana,99,110
211302,Te Awanga,93,30
211401,Lucknow,90,290
211500,Karanema-St Hill,210,930
211600,Havelock North-Central,444,2300
211701,Brookvale,315,280
211800,Iona,264,390
211900,Hereworth,390,340
212000,Te Mata Hills,315,340
212100,Havelock Hills,243,260
212201,Kahuranaki,369,580
212301,Bay View (Napier City),354,900
212400,Poraiti Hills,108,460
212500,Poraiti Flat,105,110
212600,Westshore,168,110
212800,Onekawa West,783,6000
212900,Ahuriri,444,2350
213000,Taradale West,186,220
213100,Greenmeadows West,177,320
213200,Taradale South,219,1250
213300,Bluff Hill,360,980
213400,Hospital Hill,387,620
213500,Tamatea West,96,170
213600,Tamatea North,75,380
213700,Taradale Central,273,720
213800,Tamatea East,72,220
213900,Marewa West,126,160
214000,Greenmeadows Central,117,310
214100,Onekawa Central,114,450
214200,Pirimai West,84,100
214300,Napier Central,891,7300
214400,Greenmeadows South,147,470
214500,Nelson Park,204,430
214600,Bledisloe Park,150,580
214700,Pirimai East,93,160
214800,Onekawa East,54,270
214900,Tareha Reserve,195,640
215000,Marewa East,183,420
215101,Onekawa South,90,110
215200,McLean Park,159,530
215300,Maraenui,81,230
215401,Meeanee-Awatoto,420,1600
215500,Mangaonuku,204,400
215600,Makaretu,498,1950
215700,Waipawa,189,560
215801,Waipukurau West,438,1850
215900,Mangarara,468,560
216000,Waipukurau East,78,230
216101,Taurekaitai,540,420
216200,Port Taranaki,54,520
216300,Spotswood,228,930
216401,Omata,111,140
216500,Oakura,273,320
216600,Moturoa,195,440
216700,Kaitake,390,490
216800,Blagdon-Lynmouth,150,220
216900,Kawaroa,375,910
217000,New Plymouth Central,1527,11200
217100,Marfell,66,130
217201,Whalers Gate,192,340
217300,Strandon,444,1500
217400,Westown,300,3400
217501,Bell Block West,228,630
217502,Bell Block Central,132,220
217601,Bell Block East-Puketapu,126,300
217701,Waiwhakaiho-Bell Block South,498,6800
217800,Lower Vogeltown,231,330
217901,Hurdon,189,230
218001,Frankleigh Park,255,360
218100,Merrilands,210,410
218201,Ferndale,90,65
218301,Welbourn,342,970
218401,Fitzroy (New Plymouth District),249,490
218402,Glen Avon,168,200
218500,Waitara West,207,1000
218600,Upper Vogeltown,213,450
218700,Highlands Park (New Plymouth District),333,960
218801,Paraite,180,130
218901,Waitara East,126,310
219000,Lepperton-Brixton,333,720
219100,Mangorei,393,320
219200,Mount Messenger,237,120
219301,Mangaoraka,366,280
219401,Tikorangi,375,610
219501,Everett Park,447,480
219601,Inglewood,294,960
219700,Tarata,153,120
219800,Pembroke,330,420
219900,Douglas,213,150
220001,Toko,342,300
220101,Stratford North,126,260
220200,Whangamomona,54,35
220301,Stratford Central,342,1550
220400,Stratford South,114,410
220501,Parihaka,519,520
220600,Taungatara,372,400
220700,Opunake,141,490
220800,Kaponga-Mangatoki,306,420
220901,Manaia,48,290
220902,Kapuni,177,390
221001,Eltham,246,1700
221100,Okaiawa,222,340
221201,Te Roti-Moeroa,189,240
221301,Hawera West,165,560
221401,Normanby (South Taranaki District),57,160
221402,Tawhiti,144,220
221500,Ohangai,150,160
221600,Turuturu,141,1150
221700,King Edward Park,162,700
221800,Ramanui,177,1550
221900,Hawera Central,462,1950
222000,Mangawhio,216,160
222101,Manutahi-Waitotora,396,760
222201,Patea,75,190
222300,Otangiwai-Ohura,267,260
222400,Ngapuke,264,340
222500,Taumarunui North,81,230
222600,Taumarunui Central,237,1350
222700,Taumarunui East,66,260
222800,National Park,255,480
222900,Tangiwai,318,520
223000,Raetihi,105,230
223100,Ohakune,219,700
223200,Waiouru,30,650
223300,Upper Whanganui,297,310
223400,Mowhanau,237,330
223501,Brunswick-Papaiti,243,340
223600,Castlecliff West,75,140
223701,Otamatea (Whanganui District),147,260
223800,Castlecliff East,105,520
223901,Springvale North,36,70
224000,Lower Aramoho,102,560
224100,St Johns Hill East,93,310
224200,St Johns Hill West,156,210
224301,Titoki,78,310
224401,Springvale West,81,150
224500,Springvale East,87,170
224600,Upper Aramoho,96,130
224700,Balgownie,129,2750
224800,Laird Park,129,450
224900,Wembley Park,63,75
225000,College Estate,87,580
225100,Whanganui East-Williams Domain,96,340
225200,Gonville West,27,21
225300,Gonville North,99,410
225400,Cornmarket,231,730
225500,Whanganui East-Riverlands,111,260
225600,Kaitoke-Fordell,318,890
225700,Whanganui Central,1278,6900
225800,Gonville South,102,1500
225900,Bastia-Durie Hill,201,270
226000,Putiki,63,85
226100,Mokai Patea,456,880
226200,Ngamatea,3,40
226300,Turakina,204,270
226400,Otairi,330,500
226500,Taihape,216,770
226601,Marton Rural,264,560
226701,Marton North,285,1100
226800,Parewanui,180,450
226900,Marton South,120,310
227000,Bulls,141,550
227100,Kiwitea,375,360
227200,Tokorangi,435,420
227300,Ohakea-Sanson,177,1050
227400,Oroua Downs,129,210
227500,Awahuri,300,350
227600,Pohangina-Apiti,273,210
227700,Mount Taylor,39,40
227800,Taikorea,264,270
227900,Makino,114,230
228000,Sandon,174,230
228100,Kimbolton North,180,460
228200,Warwick,99,180
228300,Kimbolton West,99,400
228400,Feilding Central,624,4200
228500,Kimbolton South,123,240
228600,Kauwhata,465,680
228700,Taonui,318,380
228800,Newbury,255,1050
228901,Palmerston North Airport,120,2000
229001,Milson North,114,290
229100,Cloverlea (Palmerston North City),75,95
229201,Tremaine,711,8600
229300,Milson South,120,400
229400,Whakarongo,324,440
229500,Westbrook,99,260
229600,Takaro North,189,960
229700,Pioneer West,45,130
229800,Palmerston North Hospital,222,4500
229900,Highbury East,75,340
230000,Park West,75,150
230100,Takaro South,123,370
230200,Roslyn (Palmerston North City),141,1100
230300,Kelvin Grove West,81,190
230400,Kelvin Grove North,138,290
230500,Papaioea North,201,1050
230600,Palmerston North Central,2076,16600
230700,Awapuni North,135,310
230800,Terrace End,132,380
230900,Maraetarata,108,420
231000,Papaioea South,132,800
231101,Royal Oak (Palmerston North City),186,640
231200,West End,126,830
231300,Awapuni South,174,440
231400,Milverton,123,360
231500,Ruamahanga,156,310
231600,Esplanade,162,580
231700,Hokowhitu Central,282,270
231800,Hokowhitu East,240,620
231900,Turitea,63,3200
232000,Ruahine,252,420
232101,Linton Camp,27,3250
232200,Ashhurst,171,370
232300,Hokowhitu South,132,120
232400,Aokautere,102,95
232501,Pihauatua,162,250
232601,Aokautere Rural,144,90
232701,Poutoa,204,350
232702,Fitzherbert,117,230
232800,Norsewood,318,570
232900,Papatawa,315,570
233000,Mangatainoka,399,680
233100,Woodville,99,180
233200,Dannevirke West,126,380
233300,Dannevirke East,333,1650
233400,Waitahora,162,170
233500,Kaitawa,192,120
233600,Pahiatua,276,800
233700,Nireaha-Eketahuna,330,420
233801,Owahanga,222,180
233900,Mara,0,0
234001,Kere Kere,174,350
234100,Foxton Beach,132,200
234201,Foxton North,93,300
234301,Foxton South,129,740
234400,Waitarere,312,430
234500,Waikawa (Horowhenua District),114,85
234600,Miranui,285,260
234700,Donnelly Park,63,390
234801,Ohau-Manakau,300,700
234900,Kawiu South,96,160
235000,Makomako,60,270
235100,Kawiu North,96,100
235200,Levin Central,426,2850
235301,Tararua,249,1900
235400,Shannon,72,220
235500,Queenwood (Horowhenua District),72,190
235600,Playford Park,54,190
235700,Fairfield (Horowhenua District),102,250
235800,Taitoko,30,350
235900,Waiopehu,42,210
236000,Makahika,156,170
236100,Kimberley,81,18
236300,Otaki Beach,141,180
236401,Forest Lakes (Kapiti Coast District),120,200
236500,Otaki,438,1600
236600,Te Horo,264,390
236701,Waitohu,102,120
236800,Waikanae Beach,351,370
236900,Peka Peka,93,25
237001,Paraparaumu Beach North,297,330
237100,Paraparaumu Beach West,300,460
237200,Waikanae Park,207,350
237300,Paraparaumu Beach East,189,360
237401,Otaihanga,93,130
237500,Paraparaumu North,309,890
237600,Waikanae West,489,1150
237700,Otaki Forks,153,110
237800,Paraparaumu Central,873,5200
237900,Maungakotukutuku,258,400
238000,Raumati Beach West,336,680
238100,Waikanae East,222,540
238300,Raumati Beach East,168,250
238400,Paraparaumu East,210,680
238500,Raumati South,375,490
238600,Paekakariki,159,240
238800,Pukerua Bay,201,220
238900,Paekakariki Hill,108,120
239000,Plimmerton,381,570
239100,Titahi Bay North,189,210
239200,Titahi Bay South,204,440
239300,Elsdon-Takapuwahia,129,360
239401,Pauatahanui,234,570
239500,Onepoto,108,50
239600,Camborne,234,220
239801,Paremata,435,1050
239900,Porirua Central,783,11100
240000,Papakowhai,219,1550
240100,Aotea,402,590
240201,Postgate,210,170
240300,Ascot Park,111,190
240401,Whitby,306,570
240500,Porirua East,75,180
240601,Endeavour West,198,250
240602,Endeavour East,336,270
240700,Cannons Creek North,72,490
240801,Waitangirua Tairangi,27,250
240802,Waitangirua Corinna,60,160
240900,Ranui Heights,54,100
241000,Cannons Creek East,69,360
241100,Cannons Creek South,30,110
241200,Akatarawa,135,190
241300,Riverstone Terraces,165,150
241400,Heretaunga,183,620
241500,Birchville-Brown Owl,243,380
241600,Poets Block,183,770
241700,Brentwood (Upper Hutt City),120,310
241800,Silverstream (Upper Hutt City),309,690
241900,Elderslea,168,520
242000,Trentham North,195,730
242100,Totara Park,144,190
242200,Trentham South,195,3200
242300,Mangaroa,309,480
242400,Ebdentown,132,180
242500,Wallaceville,132,190
242600,Maoribank,192,270
242700,Te Marua,90,85
242800,Pinehaven,138,85
242900,Clouston Park,177,710
243000,Upper Hutt Central,471,3950
243100,Belmont Park,63,55
243200,Maungaraki,336,340
243300,Korokoro,159,190
243400,Kelson,291,390
243500,Normandale,201,170
243600,Belmont (Lower Hutt City),309,410
243700,Petone Central,663,8200
243800,Tirohanga,138,130
243900,Manor Park,42,130
244000,Alicetown-Melling,501,2400
244100,Taita North,111,360
244200,Boulcott,330,1450
244300,Hutt Central North,1689,9300
244400,Avalon West,237,700
244500,Stokes Valley Central,150,350
244600,Taita South,219,1450
244700,Petone East,405,1300
244800,Hutt Central South,447,1050
244900,Stokes Valley North,195,400
245000,Petone Esplanade,399,1550
245100,Epuni West,252,2950
245200,Avalon East,144,470
245300,Woburn,216,310
245400,Naenae Central,252,1300
245500,Waterloo West,222,400
245600,Epuni East,216,390
245700,Gracefield,405,5100
245800,Moera,114,420
245900,Delaney,105,140
246001,Waiwhetu North,189,390
246002,Waiwhetu South,195,470
246100,Waterloo East,216,500
246200,Naenae North,105,250
246300,Manuka,120,180
246400,Naenae South,84,45
246600,Arakura,105,170
246700,Eastern Bays,354,270
246800,Pencarrow,84,85
246900,Wainuiomata West,195,530
247000,Glendale,189,330
247100,Wainuiomata Central,165,570
247200,Eastbourne,402,360
247300,Homedale East,153,240
247400,Homedale West,141,170
247501,Makara-Ohariu,225,130
247600,Tawa North,192,300
247700,Linden,195,190
247800,Tawa South,249,500
247900,Tawa Central,516,2050
248000,Grenada North,321,2200
248101,Churton Park North,483,480
248102,Glenside-Churton Park East,60,110
248200,Takapu-Horokiwi,45,45
248301,Churton Park South,339,240
248400,Johnsonville West,297,360
248500,Grenada Village,138,340
248600,Johnsonville North,261,290
248701,Paparangi,183,460
248800,Ngaio North,210,95
248900,Johnsonville Central,510,2150
249000,Broadmeadows,153,80
249101,Crofton Downs,207,620
249200,Johnsonville South,123,510
249300,Khandallah Reserve,291,200
249401,Karori Park,168,190
249402,Karori West,198,210
249501,Newlands North,192,260
249600,Ngaio South,330,320
249701,Newlands South,381,3600
249702,Newlands East,231,280
249800,Woodridge,183,80
249900,Karori North,306,600
250000,Khandallah North,363,740
250100,Wilton,228,240
250200,Khandallah South,303,170
250300,Wadestown,483,310
250401,Karori South,312,190
250500,Onslow,240,220
250600,Karori East,402,740
250700,Pipitea-Kaiwharawhara,798,21000
250800,Northland (Wellington City),375,250
250901,Thorndon North,237,150
250902,Thorndon South,420,14400
251000,Wellington Botanic Gardens,108,170
251100,Kelburn,234,280
251200,Aro Valley,267,290
251300,Wellington University,156,3000
251400,Wellington Central,4167,60000
251500,Brooklyn North,249,80
251601,Dixon Street West,165,930
251602,Dixon Street East,1050,6700
251700,Vivian West,789,4650
251800,Courtenay,858,6900
251900,Brooklyn East,333,350
252001,Mount Cook North,249,540
252002,Mount Cook South,75,55
252100,Vivian East,576,2750
252200,Brooklyn South,177,130
252300,Oriental Bay,363,530
252400,Mount Cook East,243,1700
252501,Mount Victoria North,342,280
252502,Mount Victoria South,192,570
252600,Roseneath,282,75
252700,Owhiro Bay,228,420
252800,Kingston-Mornington-Vogeltown,324,220
252900,Newtown North,168,8000
253000,Newtown West,324,1600
253101,Hataitai North West,192,150
253102,Hataitai North East,282,190
253200,Evans Bay,159,390
253300,Berhampore,225,450
253400,Hataitai South,144,65
253501,Maupuia,186,350
253600,Newtown South,267,820
253700,Kilbirnie Central,414,2300
253800,Island Bay West,447,570
253900,Melrose,132,90
254000,Island Bay East,414,400
254100,Miramar North,333,1050
254200,Kilbirnie East,162,320
254300,Lyall Bay,270,250
254401,Miramar Central,243,480
254500,Southgate,117,25
254600,Karaka Bay-Worser Bay,318,180
254700,Houghton Bay,228,200
254800,Miramar East,342,220
254900,Miramar South,420,580
255000,Rongotai,138,2450
255100,Strathmore (Wellington City),348,550
255200,Seatoun,447,270
255300,Kopuaranga,204,140
255401,Upper Plain,222,330
255501,Opaki,189,280
255601,Ngaumutawa,66,130
255700,Solway North,180,900
255800,Lansdowne West,120,130
255900,Masterton Central,792,5300
256000,Kuripuni,111,600
256100,Douglas Park,213,650
256200,Solway South,294,1100
256301,Lansdowne East,183,1250
256400,Cameron and Soldiers Park,111,200
256500,Whareama,405,440
256600,Homebush-Te Ore Ore,222,370
256700,McJorrow Park,54,290
256800,Mount Holdsworth,372,790
256900,Carterton North,270,890
257000,Kokotau,249,850
257100,Carterton South,204,420
257200,Gladstone (Carterton District),237,170
257300,Tauherenikau,276,290
257400,Kahutara,219,320
257500,Featherston,204,280
257700,Greytown,408,920
257801,Aorangi Forest,432,540
257901,Martinborough,375,880
300301,Golden Bay/Mohua,432,510
300500,Takaka,249,1100
300601,Pohara-Abel Tasman,240,240
300700,Takaka Hills,171,540
300801,Kaiteriteri-Riwaka,243,1250
300900,Upper Moutere,342,390
301000,Lower Moutere,252,980
301101,Motueka North,192,460
301200,Motueka West,282,1450
301301,Motueka East,363,1950
301500,Golden Downs,393,460
301601,Moutere Hills,432,660
301602,Waimea Inlet,141,130
301703,Ruby Bay,201,100
301704,Mapua,231,380
301800,Murchison-Nelson Lakes,318,480
302000,Islands Tasman District,6,12
302101,Waimea West,279,940
302201,Appleby (Tasman District),180,1300
302300,Wakefield,231,320
302400,Richmond West (Tasman District),375,2700
302500,Wakefield Rural,273,290
302600,Brightwater,228,720
302701,Hope,168,530
302800,Richmond Central (Tasman District),636,4150
302900,Ben Cooper Park,132,140
303001,Richmond South (Tasman District),150,370
303100,Wilkes Park,165,160
303200,Templemore,201,770
303300,Easby Park,162,250
303400,Fairose,150,80
303500,Aniseed Valley,75,50
303600,Nelson Rural,276,280
303800,Marybank,108,75
303901,Port Nelson,153,2600
304000,Nelson Airport,378,4250
304100,Tahunanui,219,810
304200,Britannia,240,320
304300,Atawhai,282,260
304400,Broadgreen-Monaco,165,290
304500,Washington,228,240
304600,Tahuna Hills,444,510
304700,Nelson Central-Trafalgar,1647,8600
304800,The Wood,267,680
304900,Toi Toi,81,95
305000,Nayland,120,500
305100,Aldinga,141,270
305200,Victory,75,1150
305300,Rutherford,345,620
305400,Maitlands,147,180
305500,Maitai,132,140
305600,Grampians,159,2400
305700,Saxton,192,1950
305800,Suffolk,174,400
305900,Omaio,348,930
306000,Enner Glynn,279,220
306100,Daelyn,69,230
306200,The Brook,141,160
306301,Marlborough Sounds West,387,740
306401,Marlborough Sounds Coastal Marine,6,3
306501,Marlborough Sounds East,366,420
306600,Upper Wairau,690,910
306701,Waikawa (Marlborough District),177,350
306801,Waitohi (Marlborough District),399,1450
306900,Tuamarina,228,390
307000,Awatere,459,800
307100,Renwick,252,540
307200,Lower Wairau,498,1550
307301,Woodbourne,444,1750
307400,Spring Creek-Grovetown,162,530
307501,Springlands,366,1300
307601,Yelverton,309,900
307700,Mayfield,156,650
307801,Whitney West,159,340
307802,Burleigh,132,410
307900,Blenheim Central,999,5700
308000,Riversdale-Islington,114,240
308100,Whitney East,162,610
308200,Redwoodtown West,138,320
308300,Witherlea West,198,1300
308400,Redwoodtown East,180,520
308500,Riverlands,195,2150
308600,Witherlea East,198,220
308800,Kaikoura Ranges,390,420
308900,Kaikoura,402,1150
309000,Karamea,117,170
309201,Westport North,273,1600
309300,Westport Rural,138,270
309400,Westport South,132,470
309500,Buller Coalfields,81,440
309600,Charleston (Buller District),87,140
309700,Inangahua,210,490
309800,Reefton,114,350
309900,Barrytown,111,200
310000,Runanga,39,55
310101,Cobden,42,110
310200,Blaketown,33,95
310300,Greymouth Central,531,4250
310400,King Park,60,110
310500,Marsden,69,75
310600,Karoro,105,380
310700,Rutherglen-Camerons,138,500
310801,Greymouth Rural,66,35
310901,Dobson,75,580
311000,Nelson Creek,117,200
311101,Lake Brunner,114,130
311200,Haast,57,120
311300,Westland Glaciers-Bruce Bay,174,870
311401,Arahura-Kumara,171,380
311501,Hokitika,372,2150
311701,Hokitika Rural,141,420
311800,Waitaha,93,95
311900,Whataroa-Harihari,141,210
312001,Hokitika Valley-Otira,114,120
312100,Hanmer Range,78,220
312200,Amuri,501,1000
312300,Hanmer Springs,207,650
312400,Upper Hurunui,306,430
312500,Parnassus,327,540
312600,Ashley Forest,174,120
312700,Omihi,408,480
312801,Balcairn,387,440
312901,Amberley,258,870
313000,Okuku,165,120
313100,Ashley Gorge,234,230
313200,Oxford,219,470
313300,Starvation Hill-Cust,483,490
313400,Loburn,408,250
313500,Eyrewell,273,390
313600,West Eyreton,267,280
313700,Ashley-Sefton,399,520
313801,Fernside,264,460
313900,Rangiora North West,153,400
314000,Kingsbury,165,340
314100,Ashgrove,87,160
314200,Rangiora North East,150,610
314301,Oxford Estate,75,65
314400,Rangiora Central,381,2900
314501,Rangiora South West,213,410
314600,Lilybrook,165,800
314701,Waikuku,105,260
314702,Ravenswood,81,250
314703,Waikuku Beach,93,45
314801,Mandeville,201,310
314802,Ohoka,303,1100
314900,Rangiora South East,153,320
315001,Southbrook,237,2150
315100,Swannanoa-Eyreton,162,240
315200,Tuahiwi,153,210
315301,Woodend,267,520
315400,Pegasus,225,260
315500,Clarkville,321,410
315601,Pegasus Bay,87,95
315700,Kaiapoi North West,180,590
315800,Silverstream (Waimakariri District),69,60
315901,Sovereign Palms,204,320
316000,Kaiapoi West,72,130
316100,Kaiapoi Central,297,1050
